frec(GHz)   Temperatura[mK]   cont_sinlineas
      83.3758      -0.323564      -0.323564
      83.4070       0.515932       0.515932
      83.4383      -0.132416      -0.132416
      83.4695       0.748052      -0.107331
      83.5008        1.92866     -0.0961096
      83.5320        1.51758       0.109391
      83.5633        1.26253      0.0246885
      83.5945      0.0678523      0.0678523
      83.6258      -0.271016      -0.271016
      83.6570       0.234419       0.234419
      83.6883      -0.153008      -0.153008
      83.7195       0.191458       0.191458
      83.7508       0.302489       0.302489
      83.7820      -0.510234      -0.510234
      83.8133      -0.274507      -0.274507
      83.8445      0.0488929      0.0488929
      83.8758       0.378186       0.378186
      83.9070       0.513703       0.513703
      83.9383      -0.396336      -0.396336
      83.9695      -0.308081      -0.308081
      84.0008    -0.00640595    -0.00640595
      84.0320       0.244175       0.114281
      84.0633       0.860288     -0.0373783
      84.0945     -0.0712246     -0.0211298
      84.1258      0.0743076      0.0743076
      84.1570       0.203701       0.203701
      84.1883     -0.0473082     -0.0473082
      84.2195     -0.0336183     -0.0336183
      84.2508      -0.249058      -0.249058
      84.2820      -0.119186      -0.119186
      84.3133       0.780279       0.780279
      84.3445      -0.752239      -0.752239
      84.3758       0.118226       0.118226
      84.4070       0.417412      0.0979560
      84.4383      -0.204064      0.0690918
      84.4695        1.05475      -0.188283
      84.5008      -0.566179       0.212008
      84.5320       0.235385       0.235385
      84.5633     -0.0540702     -0.0540702
      84.5945      -0.988184      -0.988184
      84.6258       0.921456       0.921456
      84.6570      -0.319988      -0.319988
      84.6883       0.436674       0.436674
      84.7195     0.00529533     0.00529533
      84.7508      -0.669978      -0.669978
      84.7820       0.226851       0.226851
      84.8133     -0.0252506     -0.0252506
      84.8445       0.237336       0.237336
      84.8758       0.453979       0.453979
      84.9070      -0.520096      -0.520096
      84.9383     -0.0519570     -0.0519570
      84.9695      -0.152689      -0.152689
      85.0008     -0.0309704     -0.0309704
      85.0320       0.266499       0.266499
      85.0633      -0.133093      -0.133093
      85.0945       0.230564       0.230564
      85.1258      0.0496328      0.0496328
      85.1570      -0.171168      -0.171168
      85.1883       0.760331     -0.0858089
      85.2195        3.56938      0.0358690
      85.2508        11.7483      0.0352285
      85.2820        10.1464  -4.17233e-007
      85.3133        4.69460  -4.70877e-006
      85.3445        7.07084   4.94719e-006
      85.3758        8.08459       0.149906
      85.4070        7.03931      -0.135879
      85.4383       0.729423      -0.264460
      85.4695      -0.296156      -0.296156
      85.5008        1.37003        1.37003
      85.5320      -0.643698      -0.643698
      85.5633        2.51780      -0.338101
      85.5945        5.68828     -0.0533850
      85.6258        6.74583       0.265664
      85.6570        3.56692      -0.100419
      85.6883        1.08961     -0.0930632
      85.7195     -0.0779105     -0.0779105
      85.7508       0.646643       0.646643
      85.7820      -0.866446      -0.866446
      85.8133       0.162252       0.162252
      85.8445       0.566060       0.566060
      85.8758        1.40274        1.40274
      85.9070       -2.75348       -2.75348
      85.9383       0.147709       0.147709
      85.9695        1.03881        1.03881
      86.0008       0.750486       0.750486
      86.0320       -1.11738       -1.11738
      86.0633       0.193151       0.193151
      86.0945      0.0738440      0.0738440
      86.1258       0.116693       0.116693
      86.1570      -0.587155      -0.587155
      86.1883       0.403492       0.403492
      86.2195       0.560932       0.150283
      86.2508        3.26043      0.0905588
      86.2820        1.70977     -0.0583820
      86.3133       0.850931     -0.0829973
      86.3445      -0.381866      -0.381866
      86.3758       0.262253       0.262253
      86.4070     -0.0259063     -0.0259063
      86.4383       0.170242       0.170242
      86.4695     -0.0299976     -0.0299976
      86.5008        1.93871     -0.0176015
      86.5320        1.20922     -0.0399404
      86.5633        1.52914     0.00339675
      86.5945        2.19345  -3.57628e-006
      86.6258        1.97788  -4.76837e-007
      86.6570        2.96169   3.09944e-006
      86.6883        3.08006   5.24521e-006
      86.7195        1.65126  -7.39098e-006
      86.7508        1.13132  -2.86102e-006
      86.7820        1.08256   2.38419e-006
      86.8133        2.77254     -0.0507016
      86.8445        1.07965     -0.0890222
      86.8758        1.62943    -0.00747633
      86.9070       0.355112       0.355112
      86.9383       0.330058       0.330058
      86.9695      -0.178639      -0.178639
      87.0008      -0.790828      -0.790828
      87.0320      -0.314076      -0.314076
      87.0633       0.758726       0.758726
      87.0945      0.0319643       0.242425
      87.1258       0.232474      -0.114841
      87.1570       0.592378      -0.140749
      87.1883        4.14675  -4.76837e-007
      87.2195        35.1049   6.19888e-006
      87.2508        44.2220   1.04904e-005
      87.2820        28.1790  -1.14441e-005
      87.3133        25.3403  -7.62939e-006
      87.3445        22.2355   4.76837e-007
      87.3758        15.2473       0.195901
      87.4070        3.53114     -0.0199676
      87.4383        1.58223      -0.277661
      87.4695      -0.606576      -0.606576
      87.5008        1.14208        1.14208
      87.5320      -0.261937      -0.261937
      87.5633       0.857587      -0.204642
      87.5945      -0.258951      -0.270679
      87.6258        2.34572       0.163891
      87.6570      -0.329459       0.197393
      87.6883       0.624469       0.624469
      87.7195       -1.00594       -1.00594
      87.7508       0.312771       0.312771
      87.7820      -0.458679      -0.458679
      87.8133       0.781262       0.781262
      87.8445      -0.559601      -0.559601
      87.8758       0.508633       0.508633
      87.9070      -0.281239      -0.281239
      87.9383       0.263990       0.263990
      87.9695      -0.348022      -0.348022
      88.0008       0.283344       0.283344
      88.0320      -0.572983      -0.572983
      88.0633       0.474312       0.474312
      88.0945     -0.0225911     -0.0225911
      88.1258       0.773713      0.0175285
      88.1570       0.307148      -0.257017
      88.1883        1.22643       0.106460
      88.2195       0.327506       0.327506
      88.2508       0.764226       0.764226
      88.2820       -1.64469       -1.64469
      88.3133      -0.207402      -0.207402
      88.3445       0.404015       0.404015
      88.3758        1.05719        1.05719
      88.4070      -0.420115      -0.420115
      88.4383      -0.188866      -0.188866
      88.4695      0.0680957     -0.0649724
      88.5008        4.84985      0.0677676
      88.5320        66.7191     -0.0191860
      88.5633        85.8110   1.00136e-005
      88.5945        44.5794   1.43051e-006
      88.6258        8.97574       0.168617
      88.6570       0.329707      -0.152531
      88.6883        1.43675      -0.230278
      88.7195      -0.656562      -0.656562
      88.7508        1.58617        1.58617
      88.7820      -0.379107      -0.379107
      88.8133        1.18176        1.18176
      88.8445       -2.68937       -2.68937
      88.8758       0.251493       0.251493
      88.9070      -0.127408      -0.127408
      88.9383        2.69431        2.69431
      88.9695       -1.26855       -1.26855
      89.0008        3.01431      -0.590034
      89.0320       -3.30201      -0.133947
      89.0633        22.4045       0.345408
      89.0945        110.967  -2.38419e-006
      89.1258        117.263   2.67029e-005
      89.1570        52.6427   4.14848e-005
      89.1883        4.23586      -0.139791
      89.2195       0.429756      -0.119096
      89.2508      -0.670546       0.188327
      89.2820       0.654660       0.654660
      89.3133      -0.328025      -0.328025
      89.3445      -0.470957      -0.470957
      89.3758      0.0653534      0.0653534
      89.4070       0.160739       0.160739
      89.4383      -0.186186      -0.186186
      89.4695       0.246328       0.246328
      89.5008      0.0399480      0.0399480
      89.5320     -0.0229640     -0.0229640
      89.5633      -0.363541      -0.363541
      89.5945       0.340860       0.340860
      89.6258       0.212379       0.212379
      89.6570      -0.243268      -0.243268
      89.6883      -0.391519      -0.391519
      89.7195      0.0606217      0.0606217
      89.7508       0.730031       0.730031
      89.7820     -0.0162878     -0.0162878
      89.8133      -0.523241      -0.523241
      89.8445      -0.547998      -0.547998
      89.8758       0.568212       0.568212
      89.9070       0.717986       0.717986
      89.9383      -0.207218      -0.207218
      89.9695      -0.937738      -0.937738
      90.0008       0.273283       0.273283
      90.0320       0.315715       0.315715
      90.0633      -0.123205      -0.123205
      90.0945      -0.484546      -0.484546
      90.1258       0.447598       0.447598
      90.1570       0.849534       0.849534
      90.1883      -0.493151      -0.493151
      90.2195      -0.397229      -0.397229
      90.2508       0.157057       0.157057
      90.2820       0.183637       0.183637
      90.3133      -0.376635      -0.376635
      90.3445       0.402457     -0.0455675
      90.3758        1.24648      -0.101022
      90.4070       0.489786     -0.0105500
      90.4383     -0.0443113       0.285962
      90.4695       0.885633       0.885633
      90.5008      -0.746832      -0.746832
      90.5320        2.78725      -0.321436
      90.5633        34.7988      0.0302558
      90.5945        39.1254       0.183818
      90.6258        21.9535    0.000460625
      90.6570        3.65175      0.0203352
      90.6883      -0.151940      0.0130763
      90.7195     -0.0270758     -0.0270758
      90.7508      -0.107251      -0.107251
      90.7820      0.0276661      0.0276661
      90.8133      0.0495355      0.0495355
      90.8445      0.0878854      0.0878854
